65,16,1,4,
66,14,2,4,
67,13,3,4,
68,5,4,4,
69,8,5,4,
70,3,7,4,
71,4,9,4,
72,5,10,4,
73,6,6,4,
74,3,8,4,
75,1,1,1,
76,1,1,1,
77,0,1,1,
78,1,5,1,
79,1,5,1,
80,4,1,1,6
81,5,1,1,6
82,4,2,1,6
83,5,2,1,6
84,4,2,1,6
85,5,2,1,6
86,4,7,1,6
87,6,7,1,6
88,7,7,1,6
89,7,7,1,6
90,0,7,1,6
91,2,7,1,6
92,4,7,1,6
93,5,7,1,6
94,2,2,1,6
95,2,2,1,6
96,4,2,1,6
97,5,2,1,6
98,2,2,1,6
99,2,2,1,6
100,2,2,1,6
101,1,2,1,6
102,2,2,1,6
103,2,2,1,6
104,2,2,1,6
105,2,2,1,6
106,2,2,1,6
107,2,2,1,6
108,2,2,1,6
109,2,2,1,6
110,2,2,1,6
111,2,2,1,6
112,2,1,1,6
113,1,1,1,6
114,2,2,1,6
115,2,2,1,6
116,2,2,1,6
117,2,2,1,6
118,2,2,1,6
119,1,2,1,6
120,1,2,1,6
121,1,2,1,6
122,0,2,1,6
123,0,2,1,6
124,0,2,1,6
125,1,2,1,6
126,0,2,1,6
127,0,2,1,6
128,0,2,1,6
129,0,2,1,6
130,5,5,1,7
131,5,1,1,7
132,3,1,1,8
133,0,1,1,8
134,3,1,1,8
135,3,1,1,8
136,0,1,1,8
137,3,1,1,8
138,0,1,1,8
139,3,1,1,8
140,0,1,1,8
141,3,1,1,8
142,0,1,1,8
143,3,1,1,8
144,3,1,1,8
145,3,1,1,8
146,3,1,1,8
147,6,1,1,8
148,3,1,1,8
149,3,1,1,8
150,3,1,1,8
151,1,2,1,8
152,3,1,1,8
153,2,5,1,8
154,0,5,1,8
155,3,7,1,8
156,3,7,1,8
157,0,7,1,8
158,2,7,1,8
159,3,9,1,8
160,43,7,1,9
